unit_number,time_in_cycles,operational_setting_1,operational_setting_2,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_17,sensor_measurement_20,sensor_measurement_21,RUL,sensor_measurement_2_roll_mean,sensor_measurement_2_roll_std,sensor_measurement_3_roll_mean,sensor_measurement_3_roll_std,sensor_measurement_4_roll_mean,sensor_measurement_4_roll_std,sensor_measurement_6_roll_mean,sensor_measurement_6_roll_std,sensor_measurement_7_roll_mean,sensor_measurement_7_roll_std,sensor_measurement_8_roll_mean,sensor_measurement_8_roll_std,sensor_measurement_9_roll_mean,sensor_measurement_9_roll_std,sensor_measurement_11_roll_mean,sensor_measurement_11_roll_std,sensor_measurement_12_roll_mean,sensor_measurement_12_roll_std,sensor_measurement_13_roll_mean,sensor_measurement_13_roll_std,sensor_measurement_14_roll_mean,sensor_measurement_14_roll_std,sensor_measurement_15_roll_mean,sensor_measurement_15_roll_std,sensor_measurement_17_roll_mean,sensor_measurement_17_roll_std,sensor_measurement_20_roll_mean,sensor_measurement_20_roll_std,sensor_measurement_21_roll_mean,sensor_measurement_21_roll_std,predicted_RUL,error
1,40,-0.0,-0.0004,642.24,1582.08,1401.77,21.61,554.57,2388.06,9052.98,47.33,521.84,2388.01,8131.03,8.3784,392,38.84,23.3769,152,642.142,0.25173398658105123,1583.1439999999998,3.908878355743512,1401.28,2.6252904601204086,21.61,0.0,554.48,0.29223278392409446,2388.048,0.03114482300514617,9052.001999999999,4.441229559477981,47.251999999999995,0.07949842765742174,522.22,0.22327113561712122,2388.044,0.02509980079600624,8132.776,2.205171195168124,8.4094,0.017868967513547735,392.0,0.0,38.89,0.1400000000000139,23.417920000000002,0.04449693247855216,188.06,36.06
1,43,-0.0027,0.0005,642.24,1591.52,1406.05,21.61,553.68,2388.03,9057.88,47.32,522.74,2388.09,8127.22,8.4068,392,38.99,23.3148,149,642.202,0.14635573101190963,1586.556,4.5295397117146505,1402.6200000000001,2.1270872102478533,21.61,0.0,553.976,0.35613199800078055,2388.05,0.02449489742816455,9053.734,3.7155860910429674,47.269999999999996,0.1653783540854184,522.222,0.3307113545068625,2388.046,0.02966479394846586,8131.803999999999,3.932369514680935,8.409980000000001,0.021020751651646886,392.0,0.0,38.932,0.1654388104406026,23.3762,0.045996793366498784,186.22,37.22
1,60,-0.001,-0.0002,642.34,1582.75,1403.07,21.61,554.0,2388.06,9051.69,47.41,522.49,2388.03,8132.89,8.3878,393,38.89,23.387,132,642.238,0.22818851855454234,1587.986,5.72689531945547,1401.624,2.2891002599275097,21.61,0.0,554.0319999999999,0.4288589511717313,2388.056,0.029664793948777225,9049.060000000001,3.7632100658871495,47.296,0.06503845016603625,522.024,0.5288005295003728,2388.0420000000004,0.02280350850156569,8132.932000000001,2.7523571715898907,8.419160000000002,0.023943746574002653,391.6,1.1401754250991119,38.852,0.10232301793831516,23.36364,0.057367525656947096,175.72,43.72
1,72,-0.0017,0.0001,642.41,1579.25,1406.81,21.61,553.76,2388.07,9054.42,47.27,521.97,2388.09,8133.95,8.3951,391,38.84,23.3085,120,642.358,0.13553597308506476,1583.288,4.515802254306583,1403.6680000000001,2.088987793167352,21.61,0.0,554.104,0.3283747858777601,2388.076,0.03130495168473615,9051.261999999999,3.2458696831443143,47.35,0.06363961030676869,521.912,0.2075331298850639,2388.094,0.018165902124477697,8132.022,2.2403727368435096,8.41988,0.01408570197044112,391.6,0.5477225575051213,38.89,0.08246211251236646,23.3679,0.05805579213136349,161.0,41.0
1,73,-0.0012,-0.0002,642.29,1592.04,1397.93,21.61,553.88,2388.03,9049.64,47.29,522.04,2388.1,8129.85,8.404,391,39.03,23.3975,119,642.314,0.10644247272645611,1585.284,5.846779455392512,1402.3700000000001,3.216776336645261,21.61,0.0,554.0719999999999,0.34361315457974784,2388.0620000000004,0.033466401061533,9050.833999999999,3.301110419232351,47.336,0.06841052550593758,521.976,0.18119050747731807,2388.1,0.012247448714104344,8131.514,2.4170705409619138,8.41584,0.015374752030522779,391.4,0.5477225575051213,38.906,0.10237187113656314,23.38392,0.05129475606726271,177.86,58.860000000000014
1,91,0.0025,-0.0004,641.98,1584.84,1404.76,21.61,553.54,2388.04,9050.72,47.32,521.55,2388.1,8134.4,8.3949,394,39.11,23.3842,101,642.236,0.2910841802643265,1584.386,1.950520443368976,1407.82,4.942342561984064,21.61,0.0,553.7819999999999,0.6076347587162787,2388.08,0.04062019202274892,9050.895999999999,3.022338498571007,47.38,0.07348469228345099,521.644,0.31476975712417643,2388.0739999999996,0.024083189157526132,8132.2300000000005,2.419989669397176,8.42622,0.029545338041730047,392.0,1.224744871391563,38.964,0.09071934744031443,23.3666,0.06469296716027628,153.29,52.28999999999999
1,102,0.0017,0.0005,642.85,1589.11,1403.42,21.61,553.42,2388.15,9051.36,47.49,521.38,2388.05,8130.4,8.4561,393,38.94,23.3653,90,642.456,0.35542931786808074,1589.352,3.216631778740796,1405.774,3.309913896160854,21.61,0.0,553.5040000000001,0.541230080464921,2388.084,0.037815340802061066,9048.002,3.516307722601835,47.504000000000005,0.12340988615172062,521.7099999999999,0.3908324449172391,2388.074,0.019493588689904955,8129.704,2.7270826903408336,8.432959999999998,0.02154850342831337,392.0,0.9999999999999662,38.879999999999995,0.09082951062294566,23.335379999999997,0.08611159619935405,130.93,40.93000000000001
1,104,-0.0001,0.0001,642.29,1590.63,1406.25,21.61,553.66,2388.08,9044.73,47.34,522.38,2388.09,8131.89,8.4021,392,38.96,23.3393,88,642.4639999999999,0.3102901867609923,1586.9640000000002,4.041185469636726,1405.5279999999998,3.489974211938922,21.61,0.0,553.662,0.33752036975581723,2388.09,0.035355339059021884,9049.478,3.9568573388472528,47.532,0.12194260945205765,521.722,0.41984520957136173,2388.0800000000004,0.01870828693450143,8129.030000000001,3.6341642780631362,8.42878,0.019549731455957845,392.0,0.7071067811864973,38.854,0.12461942063741965,23.391479999999998,0.037629270521766074,132.34,44.34
1,116,-0.002,-0.0003,642.64,1580.31,1401.99,21.61,554.4,2388.08,9049.71,47.43,521.6,2388.05,8134.46,8.4059,394,39.03,23.3512,76,642.5899999999999,0.15716233645568692,1588.176,5.3953062934372795,1403.998,2.410118254360243,21.61,0.0,553.784,0.684090637269611,2388.084,0.020736441352426156,9050.217999999999,2.4104294223147407,47.42399999999999,0.12973048986260355,521.658,0.19979989989989555,2388.112,0.046583258796306926,8131.051999999999,2.6674182274189526,8.43438,0.019367421098329632,393.6,0.5477225575051213,38.918,0.07049822692805821,23.33192,0.030608446546665644,133.05,57.05000000000001
1,120,-0.0024,0.0005,642.81,1593.78,1407.68,21.61,553.66,2388.1,9048.72,47.6,521.34,2388.1,8125.57,8.4029,393,38.81,23.3061,72,642.568,0.2009228707743263,1589.266,6.529405026494129,1406.5639999999999,3.242750375837754,21.61,0.0,554.134,0.4029019731894492,2388.096,0.008944271909047199,9049.01,1.944260784978481,47.53,0.06284902544973522,521.3860000000001,0.14724129855514848,2388.0919999999996,0.0258843582115382,8129.0419999999995,5.360706110201327,8.4147,0.009779826174339033,393.0,1.2247448713915703,38.891999999999996,0.12853015210448718,23.289859999999997,0.06659037467982955,111.76,39.760000000000005
